DriverNumber,Abbreviation,GridPosition,Top10
1,VER,6.0,1
4,NOR,2.0,1
55,SAI,4.0,1
11,PER,9.0,1
63,RUS,5.0,1
10,GAS,7.0,1
18,STR,20.0,1
22,TSU,11.0,1
23,ALB,15.0,1
2,SAR,16.0,1
27,HUL,18.0,0
77,BOT,13.0,0
24,ZHO,12.0,0
20,MAG,17.0,0
3,RIC,14.0,0
14,ALO,19.0,0
81,PIA,10.0,0
31,OCO,8.0,0
44,HAM,3.0,0
16,LEC,1.0,0
